p_id,female,age,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
310,1,NA,24.32,2,5,2,4,2,5,2,5,2,5,3,1,1,4,4,4
311,0,19,31.36,4,4,4,2,4,4,4,4,4,4,4,4,3,4,2,4
312,0,21,30.23,4,4,2,1,4,3,2,3,3,1,4,3,3,4,3,2
313,1,19,20,3,4,4,4,2,4,4,4,2,3,4,5,2,5,4,4
314,1,19,28.64,1,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5
315,1,20,27.73,4,5,4,4,4,4,2,4,4,4,4,5,5,5,4,5
316,1,18,19.55,2,4,4,2,2,5,1,4,4,2,4,2,2,5,4,2
317,0,20,35.68,1,5,4,4,4,5,2,4,2,2,4,4,3,4,1,3
318,1,18,22.59,4,5,4,4,5,4,3,5,5,2,4,5,5,5,4,5
319,1,22,26.14,4,5,4,5,4,5,2,5,4,2,5,5,4,5,3,4
321,1,NA,15.91,4,5,1,2,2,4,2,4,2,4,1,5,2,4,1,2
322,1,19,23.41,4,3,4,5,4,2,4,4,4,1,4,2,4,4,4,4
323,0,19,32.82,4,4,4,3,3,2,2,4,2,2,4,4,2,2,2,4
324,0,21,40.14,4,5,1,2,5,5,1,5,3,2,2,5,5,4,1,5
325,1,20,9.57,4,4,5,4,3,4,4,4,4,2,4,4,4,5,5,4
