p_id,age,female,ethnicity,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
161,19,0,2,34,34,6,6,6,5,4,2,2,4,6,3,7,5,6,5,5,2,2,2,5,7,4,5,5,1,3,3,5,3,3,4,5,5,1,5,6,7,3,3,2,2
178,21,0,5,35,25,5,6,3,5,3,5,6,4,4,3,2,5,3,3,5,3,5,3,4,6,3,3,5,4,4,2,4,2,4,5,5,6,4,4,5,4,5,4,2,4
182,19,0,5,35,28,1,3,6,3,4,7,1,1,4,5,1,5,4,6,7,4,5,6,4,5,3,4,1,3,7,7,6,6,5,5,7,4,5,3,3,7,3,4,4,3
101,21,0,2,57,67,3,4,3,3,3,4,6,2,5,4,4,2,4,3,3,2,4,4,4,6,2,4,6,2,2,4,4,4,6,5,4,4,1,6,5,7,6,1,4,2
144,18,0,5,51,34,3,6,3,6,1,6,6,6,6,3,2,2,5,5,5,2,1,6,5,7,3,2,5,2,2,3,5,3,4,6,6,3,1,6,6,7,2,5,2,7
162,20,0,1,51,36,3,4,2,2,2,4,5,4,6,3,2,4,3,2,3,4,4,2,1,5,3,3,4,2,1,5,4,5,6,6,5,5,3,5,5,5,3,2,2,3
136,21,0,1,50,48,4,3,3,3,2,6,7,5,5,4,2,3,3,3,2,2,4,3,2,6,1,2,3,1,2,4,6,3,6,5,2,1,1,3,2,7,7,6,7,5
116,19,0,5,47,39,7,2,4,1,1,7,4,7,4,7,7,3,1,1,2,1,7,2,1,7,1,2,4,1,1,7,4,1,7,7,7,7,3,7,5,1,7,7,7,4
127,20,0,1,61,57,6,5,2,1,3,2,3,2,6,5,1,1,3,6,4,5,4,5,1,7,1,2,1,1,1,7,7,7,7,7,4,1,3,5,5,2,4,2,1,4
140,19,0,1,52,62,2,4,2,4,2,5,5,5,7,2,2,2,4,1,3,1,2,2,2,5,1,2,2,2,1,3,6,5,6,6,5,2,1,5,4,7,6,2,3,6
122,18,0,1,42,38,7,3,1,7,2,5,7,4,6,4,4,5,5,1,3,2,7,2,3,4,1,2,3,3,2,1,5,1,3,4,6,6,2,5,5,2,5,3,2,3
166,19,0,8,56,32,6,3,5,4,5,5,4,5,4,5,5,5,5,3,3,5,5,4,5,6,3,5,3,3,2,3,5,3,5,5,4,3,3,4,5,6,5,3,3,3
120,18,0,2,48,49,6,5,6,4,5,4,1,4,4,3,6,6,6,4,6,5,5,6,6,6,2,4,5,4,4,3,4,4,4,5,6,6,2,5,6,6,5,3,2,2
106,19,0,2,51,69,7,7,1,1,1,1,1,7,7,1,1,6,1,1,1,1,6,1,1,3,1,1,1,1,1,7,7,7,7,7,3,2,1,3,1,7,3,6,1,1
131,18,0,1,50,46,2,4,1,5,2,5,5,4,7,5,4,2,5,5,3,3,5,3,5,5,1,3,5,5,6,5,6,4,6,4,2,5,1,5,5,7,2,2,3,5
112,19,0,1,52,51,6,6,6,4,3,3,5,3,4,3,4,4,5,3,3,5,3,5,5,6,2,4,5,4,3,3,5,4,4,5,5,5,2,6,5,6,5,3,3,2
181,19,0,5,49,41,2,5,5,6,3,2,3,5,4,3,4,4,5,3,3,4,5,5,7,7,4,3,3,3,3,4,4,5,4,6,5,4,2,4,3,5,5,4,4,3
145,18,0,5,50,57,6,6,5,7,1,3,6,5,6,2,5,2,1,1,7,1,4,7,2,5,1,2,3,2,1,7,7,7,4,6,7,6,1,7,5,7,1,1,1,3
118,19,0,3,46,32,3,2,1,3,1,4,7,6,7,6,1,2,1,1,2,2,1,1,3,6,1,1,1,1,4,4,6,5,3,5,3,1,1,4,2,7,1,6,3,4
160,23,0,1,54,46,1,2,1,1,1,5,3,6,6,5,2,1,1,1,1,4,2,1,1,6,1,1,2,1,1,5,6,2,7,5,6,2,1,6,6,6,3,2,2,3
159,21,0,7,48,44,7,7,1,4,1,1,3,1,6,5,7,7,7,1,1,1,1,4,7,7,1,4,5,1,1,2,7,4,7,5,7,1,1,4,2,7,7,1,6,7
126,19,0,1,58,42,2,3,2,2,1,4,5,6,6,5,3,2,3,2,2,3,4,4,2,6,2,2,2,2,1,6,5,5,6,5,7,3,2,6,5,6,3,2,3,6
115,19,0,1,39,19,5,3,3,3,2,4,7,3,5,3,5,5,6,3,3,2,2,3,6,7,3,3,5,2,2,2,5,3,5,5,6,4,1,6,4,6,6,2,3,3
158,21,0,5,31,34,4,5,5,7,3,2,4,5,5,2,6,5,6,2,6,6,4,7,4,7,3,3,7,3,3,7,5,6,5,5,6,5,1,4,4,6,7,3,1,3
125,22,0,5,30,32,3,5,6,2,5,1,1,4,5,4,4,2,5,2,4,1,4,6,5,5,2,2,4,1,6,1,5,1,6,4,4,4,2,6,5,6,4,3,2,3
172,18,0,5,57,66,4,4,4,2,2,5,2,2,4,5,2,4,2,2,1,2,2,4,4,6,1,5,6,3,1,3,5,3,4,6,4,4,1,6,4,7,1,4,4,2
